




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (5801)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (expected)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (over/under)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (FDR)
DNA packaging (GO:0006323)	202	91	56.90	+	1.60	2.81E-04	8.07E-03
DNA-templated transcription, elongation (GO:0006354)	79	45	22.25	+	2.02	2.85E-04	8.16E-03
G protein-coupled serotonin receptor signaling pathway (GO:0098664)	34	0	9.58	-	 < 0.01	2.92E-04	8.30E-03
G2/M transition of mitotic cell cycle (GO:0000086)	141	69	39.72	+	1.74	2.91E-04	8.31E-03
transcription elongation from RNA polymerase II promoter (GO:0006368)	75	43	21.13	+	2.04	3.20E-04	9.08E-03
mitotic G1 DNA damage checkpoint signaling (GO:0031571)	70	41	19.72	+	2.08	3.20E-04	9.09E-03
calcium ion homeostasis (GO:0055074)	438	81	123.37	-	.66	3.22E-04	9.13E-03
DNA geometric change (GO:0032392)	110	57	30.98	+	1.84	3.27E-04	9.24E-03
organophosphate metabolic process (GO:0019637)	894	318	251.81	+	1.26	3.30E-04	9.33E-03
regulation of leukocyte activation (GO:0002694)	622	125	175.20	-	.71	3.32E-04	9.34E-03
spliceosomal complex assembly (GO:0000245)	56	35	15.77	+	2.22	3.34E-04	9.39E-03
response to topologically incorrect protein (GO:0035966)	191	87	53.80	+	1.62	3.35E-04	9.41E-03
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	86	7	24.22	-	.29	3.60E-04	1.01E-02
establishment of protein localization to mitochondrion (GO:0072655)	77	44	21.69	+	2.03	3.64E-04	1.02E-02
regulation of B cell activation (GO:0050864)	216	32	60.84	-	.53	3.65E-04	1.02E-02
regulation of transferase activity (GO:0051338)	1033	361	290.97	+	1.24	3.72E-04	1.04E-02
membrane organization (GO:0061024)	972	342	273.78	+	1.25	3.74E-04	1.04E-02
DNA-templated transcription, initiation (GO:0006352)	195	88	54.93	+	1.60	3.79E-04	1.05E-02
response to insulin (GO:0032868)	241	104	67.88	+	1.53	3.89E-04	1.08E-02
nucleus organization (GO:0006997)	148	71	41.69	+	1.70	3.90E-04	1.08E-02
chloride transmembrane transport (GO:1902476)	65	4	18.31	-	.22	3.94E-04	1.09E-02
movement of cell or subcellular component (GO:0006928)	1596	370	449.55	-	.82	3.99E-04	1.10E-02
transcription-coupled nucleotide-excision repair (GO:0006283)	73	42	20.56	+	2.04	3.99E-04	1.10E-02
nuclear membrane organization (GO:0071763)	73	42	20.56	+	2.04	3.99E-04	1.10E-02
cellular calcium ion homeostasis (GO:0006874)	425	79	119.71	-	.66	4.05E-04	1.11E-02
divalent inorganic cation homeostasis (GO:0072507)	481	92	135.48	-	.68	4.21E-04	1.15E-02
regulation of defense response (GO:0031347)	852	182	239.98	-	.76	4.20E-04	1.15E-02
nuclear envelope organization (GO:0006998)	84	46	23.66	+	1.94	4.22E-04	1.15E-02
cytoskeleton organization (GO:0007010)	1212	416	341.38	+	1.22	4.24E-04	1.16E-02
endoplasmic reticulum organization (GO:0007029)	102	53	28.73	+	1.84	4.30E-04	1.17E-02
post-Golgi vesicle-mediated transport (GO:0006892)	136	66	38.31	+	1.72	4.35E-04	1.18E-02
phospholipid biosynthetic process (GO:0008654)	289	120	81.40	+	1.47	4.64E-04	1.26E-02
carbohydrate derivative metabolic process (GO:1901135)	1008	352	283.92	+	1.24	4.66E-04	1.26E-02
import into nucleus (GO:0051170)	117	59	32.96	+	1.79	4.68E-04	1.26E-02
vacuole organization (GO:0007033)	145	69	40.84	+	1.69	4.71E-04	1.27E-02
neutrophil chemotaxis (GO:0030593)	77	6	21.69	-	.28	4.75E-04	1.28E-02
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	161	75	45.35	+	1.65	4.78E-04	1.28E-02
ERAD pathway (GO:0036503)	92	49	25.91	+	1.89	4.78E-04	1.28E-02
monocarboxylic acid transport (GO:0015718)	100	10	28.17	-	.36	4.89E-04	1.31E-02
protein K48-linked ubiquitination (GO:0070936)	60	36	16.90	+	2.13	4.92E-04	1.32E-02
ubiquitin-dependent ERAD pathway (GO:0030433)	76	43	21.41	+	2.01	5.00E-04	1.33E-02
granulocyte migration (GO:0097530)	95	9	26.76	-	.34	5.01E-04	1.33E-02
electron transport chain (GO:0022900)	170	78	47.88	+	1.63	4.99E-04	1.33E-02
transcription by RNA polymerase III (GO:0006383)	32	24	9.01	+	2.66	5.04E-04	1.34E-02
regulation of cellular localization (GO:0060341)	841	299	236.88	+	1.26	5.08E-04	1.35E-02
mitotic G1/S transition checkpoint signaling (GO:0044819)	71	41	20.00	+	2.05	5.12E-04	1.36E-02
response to oxygen levels (GO:0070482)	388	153	109.29	+	1.40	5.21E-04	1.38E-02
positive regulation of proteolysis (GO:0045862)	376	149	105.91	+	1.41	5.24E-04	1.38E-02
cytosolic transport (GO:0016482)	148	70	41.69	+	1.68	5.24E-04	1.38E-02
regulation of TOR signaling (GO:0032006)	100	52	28.17	+	1.85	5.29E-04	1.39E-02
cellular response to radiation (GO:0071478)	181	82	50.98	+	1.61	5.41E-04	1.42E-02
cytochrome complex assembly (GO:0017004)	36	26	10.14	+	2.56	5.41E-04	1.42E-02
regulation of ubiquitin-protein transferase activity (GO:0051438)	57	35	16.06	+	2.18	5.44E-04	1.42E-02
respiratory chain complex IV assembly (GO:0008535)	26	21	7.32	+	2.87	5.59E-04	1.46E-02
cellular divalent inorganic cation homeostasis (GO:0072503)	460	88	129.57	-	.68	5.66E-04	1.47E-02
phosphorylation (GO:0016310)	877	310	247.02	+	1.25	5.68E-04	1.48E-02
anion transport (GO:0006820)	460	88	129.57	-	.68	5.66E-04	1.48E-02
double-strand break repair via homologous recombination (GO:0000724)	101	52	28.45	+	1.83	5.74E-04	1.49E-02
sensory perception of bitter taste (GO:0050913)	41	1	11.55	-	.09	5.88E-04	1.52E-02
retrograde transport, endosome to Golgi (GO:0042147)	90	48	25.35	+	1.89	5.96E-04	1.54E-02
cellular response to hypoxia (GO:0071456)	193	86	54.36	+	1.58	6.00E-04	1.55E-02
positive regulation of DNA metabolic process (GO:0051054)	202	89	56.90	+	1.56	6.04E-04	1.56E-02
epithelium development (GO:0060429)	1113	249	313.50	-	.79	6.07E-04	1.56E-02
regulation of chromatin organization (GO:1902275)	211	92	59.43	+	1.55	6.07E-04	1.56E-02
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	42	1	11.83	-	.08	6.12E-04	1.57E-02
positive regulation of response to DNA damage stimulus (GO:2001022)	109	55	30.70	+	1.79	6.14E-04	1.57E-02
monocyte chemotaxis (GO:0002548)	42	1	11.83	-	.08	6.12E-04	1.57E-02
cellular response to topologically incorrect protein (GO:0035967)	152	71	42.81	+	1.66	6.11E-04	1.57E-02
cytoskeleton-dependent intracellular transport (GO:0030705)	194	86	54.64	+	1.57	6.22E-04	1.59E-02
multivesicular body assembly (GO:0036258)	30	23	8.45	+	2.72	6.40E-04	1.62E-02
response to reactive oxygen species (GO:0000302)	186	83	52.39	+	1.58	6.39E-04	1.62E-02
immune response-activating signal transduction (GO:0002757)	455	87	128.16	-	.68	6.39E-04	1.62E-02
sensory perception of taste (GO:0050909)	69	5	19.44	-	.26	6.38E-04	1.62E-02
immune response-activating cell surface receptor signaling pathway (GO:0002429)	455	87	128.16	-	.68	6.39E-04	1.62E-02
regulation of hematopoietic progenitor cell differentiation (GO:1901532)	91	48	25.63	+	1.87	6.43E-04	1.62E-02
phagocytosis (GO:0006909)	329	58	92.67	-	.63	6.45E-04	1.63E-02
DNA biosynthetic process (GO:0071897)	117	58	32.96	+	1.76	6.48E-04	1.63E-02
inorganic ion transmembrane transport (GO:0098660)	637	131	179.42	-	.73	6.55E-04	1.65E-02
regulation of apoptotic process (GO:0042981)	1493	499	420.53	+	1.19	6.61E-04	1.66E-02
positive regulation of ion transport (GO:0043270)	297	51	83.66	-	.61	6.75E-04	1.69E-02
killing of cells of other organism (GO:0031640)	87	8	24.51	-	.33	7.02E-04	1.76E-02
regulation of telomere maintenance (GO:0032204)	81	44	22.82	+	1.93	7.07E-04	1.77E-02
regulation of leukocyte mediated cytotoxicity (GO:0001910)	82	7	23.10	-	.30	7.16E-04	1.79E-02
multivesicular body organization (GO:0036257)	31	23	8.73	+	2.63	7.46E-04	1.86E-02
histone lysine methylation (GO:0034968)	71	40	20.00	+	2.00	7.56E-04	1.88E-02
interstrand cross-link repair (GO:0036297)	56	34	15.77	+	2.16	7.65E-04	1.90E-02
mitochondrial respiratory chain complex I assembly (GO:0032981)	66	38	18.59	+	2.04	7.70E-04	1.90E-02
NADH dehydrogenase complex assembly (GO:0010257)	66	38	18.59	+	2.04	7.70E-04	1.91E-02
response to hydrogen peroxide (GO:0042542)	121	59	34.08	+	1.73	7.80E-04	1.93E-02
regulation of cellular extravasation (GO:0002691)	32	0	9.01	-	 < 0.01	8.01E-04	1.97E-02
protein-lipid complex remodeling (GO:0034368)	32	0	9.01	-	 < 0.01	8.01E-04	1.97E-02
plasma lipoprotein particle remodeling (GO:0034369)	32	0	9.01	-	 < 0.01	8.01E-04	1.98E-02
response to unfolded protein (GO:0006986)	168	76	47.32	+	1.61	8.05E-04	1.98E-02
response to chemical (GO:0042221)	4381	1117	1234.00	-	.91	8.09E-04	1.98E-02
regulation of mitochondrion organization (GO:0010821)	160	73	45.07	+	1.62	8.19E-04	2.00E-02
regulation of DNA-templated transcription, elongation (GO:0032784)	52	32	14.65	+	2.18	8.21E-04	2.01E-02
cell chemotaxis (GO:0060326)	203	31	57.18	-	.54	8.25E-04	2.01E-02
second-messenger-mediated signaling (GO:0019932)	221	35	62.25	-	.56	8.24E-04	2.01E-02
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	412	341.38	+	1.21	8.29E-04	2.02E-02
protein insertion into membrane (GO:0051205)	72	40	20.28	+	1.97	8.32E-04	2.02E-02
gene silencing (GO:0016458)	153	71	43.10	+	1.65	8.34E-04	2.02E-02
viral budding (GO:0046755)	25	20	7.04	+	2.84	8.38E-04	2.03E-02
recombinational repair (GO:0000725)	103	52	29.01	+	1.79	8.73E-04	2.11E-02
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	102	11	28.73	-	.38	8.84E-04	2.13E-02
regulation of cellular response to heat (GO:1900034)	79	43	22.25	+	1.93	8.93E-04	2.15E-02
chloride transport (GO:0006821)	103	11	29.01	-	.38	8.95E-04	2.15E-02
regulation of cellular protein localization (GO:1903827)	561	207	158.02	+	1.31	9.05E-04	2.17E-02
myeloid leukocyte migration (GO:0097529)	124	15	34.93	-	.43	9.21E-04	2.21E-02
apoptotic signaling pathway (GO:0097190)	281	115	79.15	+	1.45	9.32E-04	2.23E-02
regulation of hematopoietic stem cell differentiation (GO:1902036)	74	41	20.84	+	1.97	9.34E-04	2.23E-02
cellular response to insulin stimulus (GO:0032869)	174	78	49.01	+	1.59	9.58E-04	2.28E-02
DNA duplex unwinding (GO:0032508)	105	53	29.58	+	1.79	9.58E-04	2.29E-02
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	58	34	16.34	+	2.08	9.62E-04	2.29E-02
tissue development (GO:0009888)	1729	410	487.01	-	.84	9.78E-04	2.33E-02
protein import (GO:0017038)	158	72	44.50	+	1.62	9.90E-04	2.35E-02
chromatin assembly (GO:0031497)	150	69	42.25	+	1.63	1.00E-03	2.37E-02
response to starvation (GO:0042594)	232	98	65.35	+	1.50	1.01E-03	2.39E-02
amino acid activation (GO:0043038)	50	31	14.08	+	2.20	1.05E-03	2.48E-02
viral budding via host ESCRT complex (GO:0039702)	20	17	5.63	+	3.02	1.13E-03	2.66E-02
sodium ion transport (GO:0006814)	176	26	49.57	-	.52	1.14E-03	2.69E-02
regulation of apoptotic signaling pathway (GO:2001233)	354	139	99.71	+	1.39	1.17E-03	2.75E-02
regulation of blood circulation (GO:1903522)	278	48	78.30	-	.61	1.19E-03	2.80E-02
glycerolipid biosynthetic process (GO:0045017)	272	111	76.61	+	1.45	1.20E-03	2.81E-02
positive regulation of apoptotic process (GO:0043065)	560	206	157.74	+	1.31	1.21E-03	2.83E-02
detection of external stimulus (GO:0009581)	137	18	38.59	-	.47	1.23E-03	2.88E-02
small molecule metabolic process (GO:0044281)	1622	534	456.87	+	1.17	1.24E-03	2.89E-02
glycerophospholipid biosynthetic process (GO:0046474)	252	104	70.98	+	1.47	1.25E-03	2.91E-02
histone mRNA metabolic process (GO:0008334)	24	19	6.76	+	2.81	1.26E-03	2.93E-02
cellular response to UV (GO:0034644)	91	47	25.63	+	1.83	1.27E-03	2.95E-02
spliceosomal snRNP assembly (GO:0000387)	39	26	10.99	+	2.37	1.32E-03	3.05E-02
immune response-regulating signaling pathway (GO:0002764)	495	99	139.43	-	.71	1.32E-03	3.05E-02
ER-nucleus signaling pathway (GO:0006984)	39	26	10.99	+	2.37	1.32E-03	3.05E-02
7-methylguanosine RNA capping (GO:0009452)	35	24	9.86	+	2.43	1.32E-03	3.05E-02
RNA capping (GO:0036260)	35	24	9.86	+	2.43	1.32E-03	3.06E-02
protein localization to chromosome (GO:0034502)	69	38	19.44	+	1.96	1.42E-03	3.27E-02
maturation of LSU-rRNA (GO:0000470)	28	21	7.89	+	2.66	1.42E-03	3.27E-02
regulation of ion transmembrane transport (GO:0034765)	502	101	141.40	-	.71	1.43E-03	3.29E-02
regulation of lymphocyte activation (GO:0051249)	536	109	150.98	-	.72	1.46E-03	3.35E-02
positive regulation of cytokine production (GO:0001819)	489	98	137.74	-	.71	1.48E-03	3.38E-02
DNA replication-independent nucleosome organization (GO:0034724)	40	26	11.27	+	2.31	1.47E-03	3.38E-02
tRNA aminoacylation (GO:0043039)	49	30	13.80	+	2.17	1.48E-03	3.38E-02
cell killing (GO:0001906)	126	16	35.49	-	.45	1.50E-03	3.42E-02
nuclear membrane reassembly (GO:0031468)	54	32	15.21	+	2.10	1.50E-03	3.42E-02
negative regulation of protein ubiquitination (GO:0031397)	82	43	23.10	+	1.86	1.53E-03	3.49E-02
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	492	99	138.58	-	.71	1.54E-03	3.50E-02
response to decreased oxygen levels (GO:0036293)	361	140	101.68	+	1.38	1.55E-03	3.52E-02
positive regulation of protein ubiquitination (GO:0031398)	123	58	34.65	+	1.67	1.56E-03	3.54E-02
cellular response to unfolded protein (GO:0034620)	131	61	36.90	+	1.65	1.57E-03	3.54E-02
mitochondrial cytochrome c oxidase assembly (GO:0033617)	22	18	6.20	+	2.90	1.59E-03	3.59E-02
cellular response to stimulus (GO:0051716)	6807	1790	1917.33	-	.93	1.60E-03	3.61E-02
maturation of SSU-rRNA (GO:0030490)	50	30	14.08	+	2.13	1.63E-03	3.67E-02
centriole assembly (GO:0098534)	29	21	8.17	+	2.57	1.63E-03	3.68E-02
response to gamma radiation (GO:0010332)	55	32	15.49	+	2.07	1.65E-03	3.71E-02
ribosomal small subunit assembly (GO:0000028)	19	16	5.35	+	2.99	1.70E-03	3.81E-02
negative regulation of multicellular organismal process (GO:0051241)	1014	229	285.61	-	.80	1.78E-03	3.98E-02
positive regulation of mitotic cell cycle (GO:0045931)	112	54	31.55	+	1.71	1.79E-03	4.00E-02
positive regulation of cell cycle process (GO:0090068)	228	95	64.22	+	1.48	1.81E-03	4.02E-02
tRNA aminoacylation for protein translation (GO:0006418)	46	28	12.96	+	2.16	1.80E-03	4.03E-02
positive regulation of intracellular transport (GO:0032388)	228	95	64.22	+	1.48	1.81E-03	4.03E-02
neutrophil migration (GO:1990266)	87	9	24.51	-	.37	1.83E-03	4.06E-02
endoplasmic reticulum unfolded protein response (GO:0030968)	105	51	29.58	+	1.72	1.84E-03	4.08E-02
mitotic nuclear membrane organization (GO:0101024)	51	30	14.37	+	2.09	1.85E-03	4.10E-02
mitotic nuclear membrane reassembly (GO:0007084)	51	30	14.37	+	2.09	1.85E-03	4.11E-02
cell-cell signaling involved in cardiac conduction (GO:0086019)	27	0	7.61	-	 < 0.01	1.86E-03	4.11E-02
regulation of cell motility (GO:2000145)	954	214	268.71	-	.80	1.87E-03	4.13E-02
detection of abiotic stimulus (GO:0009582)	139	19	39.15	-	.49	1.91E-03	4.20E-02
ncRNA export from nucleus (GO:0097064)	38	25	10.70	+	2.34	1.91E-03	4.20E-02
7-methylguanosine mRNA capping (GO:0006370)	34	23	9.58	+	2.40	1.92E-03	4.22E-02
nucleobase-containing small molecule metabolic process (GO:0055086)	515	189	145.06	+	1.30	1.97E-03	4.33E-02
positive regulation of cell death (GO:0010942)	638	228	179.71	+	1.27	2.00E-03	4.39E-02
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	94	47	26.48	+	1.78	2.05E-03	4.49E-02
regulation of DNA replication (GO:0006275)	108	52	30.42	+	1.71	2.06E-03	4.51E-02
potassium ion transmembrane transport (GO:0071805)	158	23	44.50	-	.52	2.07E-03	4.52E-02
potassium ion transport (GO:0006813)	167	25	47.04	-	.53	2.09E-03	4.56E-02
DNA replication-independent nucleosome assembly (GO:0006336)	39	25	10.99	+	2.28	2.12E-03	4.61E-02
positive regulation of programmed cell death (GO:0043068)	575	208	161.96	+	1.28	2.14E-03	4.65E-02
ciliary basal body-plasma membrane docking (GO:0097711)	95	47	26.76	+	1.76	2.17E-03	4.71E-02
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	109	52	30.70	+	1.69	2.20E-03	4.75E-02
icosanoid transport (GO:0071715)	36	1	10.14	-	.10	2.19E-03	4.76E-02
response to hypoxia (GO:0001666)	347	134	97.74	+	1.37	2.20E-03	4.76E-02
centrosome duplication (GO:0051298)	35	23	9.86	+	2.33	2.24E-03	4.85E-02
base-excision repair (GO:0006284)	59	33	16.62	+	1.99	2.26E-03	4.88E-02
inner mitochondrial membrane organization (GO:0007007)	54	31	15.21	+	2.04	2.30E-03	4.94E-02
response to radiation (GO:0009314)	452	168	127.31	+	1.32	2.32E-03	4.98E-02
